2020-03-14 11:27:02,957 - INFO     - decorators - Выполнен вызов функции "args_parser" из функции "get_command_args"
2020-03-14 11:27:02,959 - INFO     - decorators - Функция "args_parser" из модуля "clt_parse_args" с аргументами ((), {})
2020-03-14 11:27:02,960 - INFO     - decorators - Выполнен вызов функции "check_address" из функции "get_command_args"
2020-03-14 11:27:02,960 - INFO     - decorators - Функция "check_address" из модуля "clt_parse_args" с аргументами (('127.0.0.1',), {})
2020-03-14 11:27:02,961 - INFO     - decorators - Выполнен вызов функции "check_port" из функции "get_command_args"
2020-03-14 11:27:02,961 - INFO     - decorators - Функция "check_port" из модуля "clt_parse_args" с аргументами ((7777,), {})
2020-03-14 11:27:02,961 - INFO     - decorators - Выполнен вызов функции "get_command_args" из функции "<module>"
2020-03-14 11:27:02,962 - INFO     - decorators - Функция "get_command_args" из модуля "clt_parse_args" с аргументами ((), {})
2020-03-14 11:27:19,751 - INFO     - client_gui - Запущено клиентское приложение. IP-адрес сервера: 127.0.0.1, порт сервера: 7777, имя пользователя: Petr.
2020-03-14 11:27:19,802 - INFO     - transport - Попытка подключения №1.
2020-03-14 11:27:19,802 - DEBUG    - transport - Установлено соединение с сервером.
2020-03-14 11:27:19,803 - INFO     - transport - Сгенерировано presence сообщение для пользователя Petr.
2020-03-14 11:27:19,808 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "connection_init"
2020-03-14 11:27:19,808 - INFO     - decorators - Функция "send_message" из модуля "clt_function" с аргументами ((<socket.socket fd=15, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65245), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1584174422.852563, 'user': 'Petr'}), {})
2020-03-14 11:27:20,329 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "connection_init"
2020-03-14 11:27:20,329 - INFO     - decorators - Функция "get_message" из модуля "clt_function" с аргументами ((<socket.socket fd=15, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65245), raddr=('127.0.0.1', 7777)>,), {})
2020-03-14 11:27:20,329 - DEBUG    - transport - Обработка сообщения от сервера {'response': 200}.
2020-03-14 11:27:20,329 - INFO     - transport - Сообщение корректно обработано. Response 200: OK
2020-03-14 11:27:20,329 - INFO     - transport - Установлено соединение с сервером 127.0.0.1:7777.
2020-03-14 11:27:20,329 - DEBUG    - transport - Запрос зарегистрированных пользователей.
2020-03-14 11:27:20,330 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "get_registered_user_from_server"
2020-03-14 11:27:20,330 - INFO     - decorators - Функция "send_message" из модуля "clt_function" с аргументами ((<socket.socket fd=15, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65245), raddr=('127.0.0.1', 7777)>, {'action': 'get_registered', 'time': 1584174422.852569, 'user': 'Petr'}), {})
2020-03-14 11:27:20,862 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "get_registered_user_from_server"
2020-03-14 11:27:20,862 - INFO     - decorators - Функция "get_message" из модуля "clt_function" с аргументами ((<socket.socket fd=15, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65245), raddr=('127.0.0.1', 7777)>,), {})
2020-03-14 11:27:20,871 - DEBUG    - transport - Запрос списка контактов пользователя Petr.
2020-03-14 11:27:20,872 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "get_contact_list_from_server"
2020-03-14 11:27:20,872 - INFO     - decorators - Функция "send_message" из модуля "clt_function" с аргументами ((<socket.socket fd=15, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65245), raddr=('127.0.0.1', 7777)>, {'action': 'get_contacts', 'time': 1584174422.8525681, 'user': 'Petr'}), {})
2020-03-14 11:27:21,374 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "get_contact_list_from_server"
2020-03-14 11:27:21,374 - INFO     - decorators - Функция "get_message" из модуля "clt_function" с аргументами ((<socket.socket fd=15, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65245), raddr=('127.0.0.1', 7777)>,), {})
2020-03-14 11:27:21,416 - DEBUG    - transport - Запущен процесс - приёмник сообщений с сервера.
2020-03-14 11:28:22,099 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "transport_shutdown"
2020-03-14 11:28:22,100 - INFO     - decorators - Функция "send_message" из модуля "clt_function" с аргументами ((<socket.socket fd=15, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65245), raddr=('127.0.0.1', 7777)>, {'action': 'exit', 'time': 1584174422.8525639, 'user': 'Petr'}), {})
2020-03-14 11:28:22,100 - DEBUG    - transport - Клиент завершает работу.
2020-03-14 11:28:22,616 - CRITICAL - transport - Потеряно соединение с сервером.
2020-03-14 11:33:55,756 - INFO     - decorators - Выполнен вызов функции "args_parser" из функции "get_command_args"
2020-03-14 11:33:55,757 - INFO     - decorators - Функция "args_parser" из модуля "clt_parse_args" с аргументами ((), {})
2020-03-14 11:33:55,758 - INFO     - decorators - Выполнен вызов функции "check_address" из функции "get_command_args"
2020-03-14 11:33:55,758 - INFO     - decorators - Функция "check_address" из модуля "clt_parse_args" с аргументами (('127.0.0.1',), {})
2020-03-14 11:33:55,759 - INFO     - decorators - Выполнен вызов функции "check_port" из функции "get_command_args"
2020-03-14 11:33:55,759 - INFO     - decorators - Функция "check_port" из модуля "clt_parse_args" с аргументами ((7777,), {})
2020-03-14 11:33:55,759 - INFO     - decorators - Выполнен вызов функции "get_command_args" из функции "<module>"
2020-03-14 11:33:55,759 - INFO     - decorators - Функция "get_command_args" из модуля "clt_parse_args" с аргументами ((), {})
2020-03-14 11:33:59,715 - INFO     - client_gui - Запущено клиентское приложение. IP-адрес сервера: 127.0.0.1, порт сервера: 7777, имя пользователя: Petr.
2020-03-14 11:33:59,742 - INFO     - transport - Попытка подключения №1.
2020-03-14 11:33:59,742 - DEBUG    - transport - Установлено соединение с сервером.
2020-03-14 11:33:59,742 - INFO     - transport - Сгенерировано presence сообщение для пользователя Petr.
2020-03-14 11:33:59,745 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "connection_init"
2020-03-14 11:33:59,745 - INFO     - decorators - Функция "send_message" из модуля "clt_function" с аргументами ((<socket.socket fd=12, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65315), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1584174835.6619148, 'user': 'Petr'}), {})
2020-03-14 11:33:59,751 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "connection_init"
2020-03-14 11:33:59,752 - INFO     - decorators - Функция "get_message" из модуля "clt_function" с аргументами ((<socket.socket fd=12, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65315), raddr=('127.0.0.1', 7777)>,), {})
2020-03-14 11:33:59,752 - DEBUG    - transport - Обработка сообщения от сервера {'response': 200}.
2020-03-14 11:33:59,752 - INFO     - transport - Сообщение корректно обработано. Response 200: OK
2020-03-14 11:33:59,752 - INFO     - transport - Установлено соединение с сервером 127.0.0.1:7777.
2020-03-14 11:33:59,752 - DEBUG    - transport - Запрос зарегистрированных пользователей.
2020-03-14 11:33:59,753 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "get_registered_user_from_server"
2020-03-14 11:33:59,753 - INFO     - decorators - Функция "send_message" из модуля "clt_function" с аргументами ((<socket.socket fd=12, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65315), raddr=('127.0.0.1', 7777)>, {'action': 'get_registered', 'time': 1584174835.661918, 'user': 'Petr'}), {})
2020-03-14 11:34:00,277 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "get_registered_user_from_server"
2020-03-14 11:34:00,277 - INFO     - decorators - Функция "get_message" из модуля "clt_function" с аргументами ((<socket.socket fd=12, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65315), raddr=('127.0.0.1', 7777)>,), {})
2020-03-14 11:34:00,286 - DEBUG    - transport - Запрос списка контактов пользователя Petr.
2020-03-14 11:34:00,287 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "get_contact_list_from_server"
2020-03-14 11:34:00,287 - INFO     - decorators - Функция "send_message" из модуля "clt_function" с аргументами ((<socket.socket fd=12, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65315), raddr=('127.0.0.1', 7777)>, {'action': 'get_contacts', 'time': 1584174835.661918, 'user': 'Petr'}), {})
2020-03-14 11:34:00,785 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "get_contact_list_from_server"
2020-03-14 11:34:00,786 - INFO     - decorators - Функция "get_message" из модуля "clt_function" с аргументами ((<socket.socket fd=12, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65315), raddr=('127.0.0.1', 7777)>,), {})
2020-03-14 11:34:00,826 - DEBUG    - transport - Запущен процесс - приёмник сообщений с сервера.
2020-03-14 11:34:21,859 - INFO     - decorators - Выполнен вызов функции "args_parser" из функции "get_command_args"
2020-03-14 11:34:21,860 - INFO     - decorators - Функция "args_parser" из модуля "clt_parse_args" с аргументами ((), {})
2020-03-14 11:34:21,862 - INFO     - decorators - Выполнен вызов функции "check_address" из функции "get_command_args"
2020-03-14 11:34:21,862 - INFO     - decorators - Функция "check_address" из модуля "clt_parse_args" с аргументами (('127.0.0.1',), {})
2020-03-14 11:34:21,862 - INFO     - decorators - Выполнен вызов функции "check_port" из функции "get_command_args"
2020-03-14 11:34:21,863 - INFO     - decorators - Функция "check_port" из модуля "clt_parse_args" с аргументами ((7777,), {})
2020-03-14 11:34:21,863 - INFO     - decorators - Выполнен вызов функции "get_command_args" из функции "<module>"
2020-03-14 11:34:21,863 - INFO     - decorators - Функция "get_command_args" из модуля "clt_parse_args" с аргументами ((), {})
2020-03-14 11:34:22,107 - INFO     - client_gui - Запущено клиентское приложение. IP-адрес сервера: 127.0.0.1, порт сервера: 7777, имя пользователя: test_user_1.
2020-03-14 11:34:22,157 - INFO     - transport - Попытка подключения №1.
2020-03-14 11:34:22,157 - DEBUG    - transport - Установлено соединение с сервером.
2020-03-14 11:34:22,157 - INFO     - transport - Сгенерировано presence сообщение для пользователя test_user_1.
2020-03-14 11:34:22,158 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "connection_init"
2020-03-14 11:34:22,158 - INFO     - decorators - Функция "send_message" из модуля "clt_function" с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65319), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1584174861.689342, 'user': 'test_user_1'}), {})
2020-03-14 11:34:22,162 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "connection_init"
2020-03-14 11:34:22,162 - INFO     - decorators - Функция "get_message" из модуля "clt_function" с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65319), raddr=('127.0.0.1', 7777)>,), {})
2020-03-14 11:34:22,163 - DEBUG    - transport - Обработка сообщения от сервера {'response': 200}.
2020-03-14 11:34:22,163 - INFO     - transport - Сообщение корректно обработано. Response 200: OK
2020-03-14 11:34:22,163 - INFO     - transport - Установлено соединение с сервером 127.0.0.1:7777.
2020-03-14 11:34:22,163 - DEBUG    - transport - Запрос зарегистрированных пользователей.
