2020-03-14 11:26:52,781 - INFO     - decorators - Выполнен вызов функции "args_parser" из функции "main"
2020-03-14 11:26:52,782 - INFO     - decorators - Функция "args_parser" из модуля "srv_parse_args" с аргументами (('127.0.0.1', '7777'), {})
2020-03-14 11:26:52,828 - INFO     - server - Сервер запущен с параметрами - 127.0.0.1:7777
2020-03-14 11:27:19,803 - INFO     - server - Установлено соединение с клиентом ('127.0.0.1', 65245)
2020-03-14 11:27:20,328 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:27:20,328 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65245)>,), {})
2020-03-14 11:27:20,328 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'presence', 'time': 1584174422.852563, 'user': 'Petr'}
2020-03-14 11:27:20,329 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:27:20,329 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65245)>, {'response': 200}), {})
2020-03-14 11:27:20,329 - INFO     - server - Клиент ('127.0.0.1', 65245) подключился. Отправлен ответ {'response': 200}
2020-03-14 11:27:20,857 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:27:20,857 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65245)>,), {})
2020-03-14 11:27:20,858 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'get_registered', 'time': 1584174422.852569, 'user': 'Petr'}
2020-03-14 11:27:20,860 - DEBUG    - server - Пользователь Petr запросил список зарегистрированных пользователей.
2020-03-14 11:27:20,863 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:27:20,863 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65245)>, {'response': 202, 'data': ['test_user_1', 'test_user_2', 'test_user_3', 'lola', 'test_1', 'test_2', 'test_3', 'test_4', 'test_5', 'Petr', 'Peter', 'Ivan', 'Vasya', 'Ignat']}), {})
2020-03-14 11:27:21,369 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:27:21,369 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65245)>,), {})
2020-03-14 11:27:21,369 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'get_contacts', 'time': 1584174422.8525681, 'user': 'Petr'}
2020-03-14 11:27:21,373 - DEBUG    - server - Пользователь Petr запросил список контактов.
2020-03-14 11:27:21,374 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:27:21,374 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65245)>, {'response': 202, 'data': ['test_user_1', 'test_5', 'lola', 'test_3', 'Vasya', 'test_user_3']}), {})
2020-03-14 11:28:22,590 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:28:22,592 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65245)>,), {})
2020-03-14 11:28:22,592 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'exit', 'time': 1584174422.8525639, 'user': 'Petr'}
2020-03-14 11:28:22,592 - INFO     - server - Клиент ('127.0.0.1', 65245) отключился от сервера.
